127.0.0.1 - - [04/May/2025:22:17:36 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/May/2025:22:17:37 +0530] "GET /mentorship_platform/register.jsp HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [04/May/2025:22:17:37 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/May/2025:22:19:51 +0530] "POST /mentorship_platform/register HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/May/2025:22:23:09 +0530] "POST /mentorship_platform/register HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/May/2025:22:34:48 +0530] "POST /mentorship_platform/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/May/2025:22:34:48 +0530] "GET /mentorship_platform/registration-success.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [04/May/2025:22:35:03 +0530] "GET /mentorship_platform/login.jsp HTTP/1.1" 200 3539
0:0:0:0:0:0:0:1 - - [04/May/2025:22:35:28 +0530] "POST /mentorship_platform/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/May/2025:22:35:30 +0530] "GET /mentorship_platform/add-mentor.jsp HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [04/May/2025:22:35:30 +0530] "GET /mentorship_platform/css/add-mentor.css HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [04/May/2025:22:38:27 +0530] "POST /mentorship_platform/add-mentor HTTP/1.1" 500 1320
0:0:0:0:0:0:0:1 - - [04/May/2025:22:50:58 +0530] "POST /mentorship_platform/add-mentor HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [04/May/2025:22:51:10 +0530] "POST /mentorship_platform/add-mentor HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [04/May/2025:22:58:02 +0530] "POST /mentorship_platform/add-mentor HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [04/May/2025:23:43:07 +0530] "POST /mentorship_platform/add-mentor HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [04/May/2025:23:55:13 +0530] "POST /mentorship_platform/add-mentor HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [04/May/2025:23:58:18 +0530] "POST /mentorship_platform/add-mentor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/May/2025:23:58:18 +0530] "GET /mentorship_platform/login.jsp HTTP/1.1" 200 3539
